gvkey,conm,tic,sic,naics,linkprim,liid,linktype,linkid,lpermno,lpermco,USEDFLAG,linkdt,linkenddt,GSECTOR,GGROUP,GIND,GSUBIND,SPCINDCD,SPCSECCD
001004,AAR CORP,AIR,5080,423860,P,01,LU,2,54594,20000,1,19720424,E,20,2010,201010,20101010,110,925
001013,ADC TELECOMMUNICATIONS INC,ADCT,3661,334210,P,01,LU,1,50906,2902,1,19790316,E,45,4520,452010,45201020,180,940
001045,AMR CORP/DE,AMR,4512,481111,C,00X,LU,0,21020,20010,1,19500101,19620130,20,2030,203020,20302010,605,600
001045,AMR CORP/DE,AMR,4512,481111,P,01,LU,1,21020,20010,1,19620131,E,20,2030,203020,20302010,605,600
001056,AEROFLEX INC,ARXX,3825,334416,P,01,LU,1,62500,336,1,19770630,20070831,45,4520,452030,45203010,225,940
001072,AVX CORP,AVX,3670,334414,C,01,LC,1,56899,25544,1,19730330,19900118,45,4520,452030,45203015,220,925
001072,AVX CORP,AVX,3670,334414,C,01,LC,3,81912,30930,1,19950815,E,45,4520,452030,45203015,220,925
001072,AVX CORP,AVX,3670,334414,C,00X,LN,0,56899,25544,-1,19730101,19730329,45,4520,452030,45203015,220,925
001075,PINNACLE WEST CAPITAL CORP,PNW,4911,2211,P,01,LU,1,27991,21409,1,19620131,E,55,5510,551010,55101010,705,700
001078,ABBOTT LABORATORIES,ABT,2834,325412,C,00X,LC,0,20482,20017,1,19500101,19620130,35,3520,352020,35202010,280,905
001078,ABBOTT LABORATORIES,ABT,2834,325412,P,01,LC,1,20482,20017,1,19620131,E,35,3520,352020,35202010,280,905
001161,ADVANCED MICRO DEVICES,AMD,3674,334413,P,01,LU,2,61241,211,1,19721214,E,45,4530,453010,45301020,235,940
001177,AETNA INC,AET,6324,524114,P,01,LC,3,88845,41072,1,20001214,E,35,3510,351020,35102030,287,905
001177,AETNA INC,AET,6324,524114,P,01,LC,2,46850,20026,1,19680924,20001213,35,3510,351020,35102030,287,905
001209,AIR PRODUCTS & CHEMICALS INC,APD,2810,325120,P,01,LU,1,28222,20030,1,19620131,E,15,1510,151010,15101040,160,970
001213,AIRBORNE INC,ABF,4513,492110,P,01,LU,2,51721,20031,1,19710105,20030815,20,2030,203010,20301010,620,600
001230,ALASKA AIR GROUP INC,ALK,4512,481111,P,01,LU,1,28804,20035,1,19660131,E,20,2030,203020,20302010,605,600
001239,ALBERTO-CULVER CO,ACV,2844,325620,P,01,LU,2,42083,8127,1,19650611,E,30,3030,303020,30302010,215,978
001239,ALBERTO-CULVER CO,ACV,2844,325620,J,02,LU,3,69163,8127,1,19860423,20031128,30,3030,303020,30302010,215,978
001240,ALBERTSON'S INC,ABS,5411,445110,P,01,LU,2,50032,20038,1,19700210,20060630,30,3010,301010,30101030,440,978
001246,IKON OFFICE SOLUTIONS,IKN,5040,423420,P,01,LU,2,48514,20040,1,19690616,20081031,20,2020,202010,20201060,357,925
001254,ALEXANDER & BALDWIN INC,ALEX,4400,483113,P,01,LU,2,11691,157,1,19721214,E,20,2030,203030,20303010,612,600
001274,ALLEGHANY CORP,Y,6331,524126,P,01,LC,2,71271,20043,1,19870130,E,40,4030,403010,40301040,835,800
001274,ALLEGHANY CORP,Y,6331,524126,P,01,LC,1,17400,22775,1,19740131,19861223,40,4030,403010,40301040,835,800
001274,ALLEGHANY CORP,Y,6331,524126,C,00X,LC,0,17400,22775,1,19740101,19740130,40,4030,403010,40301040,835,800
001279,ALLEGHENY ENERGY INC,AYE,4911,2211,C,00X,LU,0,10137,20045,1,19510101,19620130,55,5510,551010,55101010,705,700
001279,ALLEGHENY ENERGY INC,AYE,4911,2211,P,01,LU,1,10137,20045,1,19620131,E,55,5510,551010,55101010,705,700
001300,HONEYWELL INTERNATIONAL INC,HON,3728,336413,C,00X,LU,0,10145,22168,1,19500101,19620130,20,2010,201010,20101010,355,925
001300,HONEYWELL INTERNATIONAL INC,HON,3728,336413,P,01,LU,1,10145,22168,1,19620131,E,20,2010,201010,20101010,355,925
001356,ALCOA INC,AA,3350,331316,C,00X,LU,1,24643,20060,1,19510629,19620130,15,1510,151040,15104010,115,970
001356,ALCOA INC,AA,3350,331316,P,01,LU,2,24643,20060,1,19620131,E,15,1510,151040,15104010,115,970
001380,HESS CORP,HES,2911,324110,N,01C,LX,2,28484,20064,-1,19980529,20090228,10,1010,101020,10102010,385,935
001380,HESS CORP,HES,2911,324110,J,01C,LX,3,28484,20064,-1,20090301,E,10,1010,101020,10102010,385,935
001380,HESS CORP,HES,2911,324110,P,01,LU,1,28484,20064,1,19690131,E,10,1010,101020,10102010,385,935
001393,AMERCO,UHAL,7510,532120,P,01,LU,1,81073,30020,1,19941103,E,20,2030,203040,20304020,175,976
001408,FORTUNE BRANDS INC,FO,3490,332999,P,01,LU,1,10225,20067,1,19620131,E,25,2520,252010,25201050,325,978
001408,FORTUNE BRANDS INC,FO,3490,332999,C,00X,LU,0,10225,20067,1,19500101,19620130,25,2520,252010,25201050,325,978
001410,ABM INDUSTRIES INC,ABM,7340,561720,P,01,LU,2,47730,20068,1,19690213,E,20,2020,202010,20201050,459,978
001440,AMERICAN ELECTRIC POWER CO,AEP,4911,2211,C,00X,LC,0,24109,20077,1,19510101,19620130,55,5510,551010,55101010,705,700
001440,AMERICAN ELECTRIC POWER CO,AEP,4911,2211,P,01,LC,1,24109,20077,1,19620131,E,55,5510,551010,55101010,705,700
001447,AMERICAN EXPRESS CO,AXP,6199,522320,C,01,LU,2,59176,90,1,19721214,E,40,4020,402020,40202010,850,800
001449,AFLAC INC,AFL,6321,524114,P,01,LU,1,57904,92,1,19730823,E,40,4030,403010,40301020,825,800
001468,AMERICAN GREETINGS  -CL A,AM,2771,511191,P,01,LU,2,13056,121,1,19721214,E,25,2520,252010,25201050,203,976
001478,WYETH,WYE,2834,325412,P,01,LU,1,15667,20086,1,19620131,E,35,3520,352020,35202010,280,905
001478,WYETH,WYE,2834,325412,C,00X,LU,0,15667,20086,1,19500101,19620130,35,3520,352020,35202010,280,905
001487,AMERICAN INTERNATIONAL GROUP,AIG,6311,524113,P,01,LC,2,66800,137,1,19721214,E,40,4030,403010,40301030,830,800
001500,AMERICAN MANAGEMENT SYSTEMS,AMSY,7370,541512,P,01,LC,1,13304,249,1,19790427,20040528,45,4510,451020,45102010,185,940
001526,AMERICAN NATIONAL INSURANCE,ANAT,6311,524113,P,01,LU,2,13507,261,1,19721214,E,40,4030,403010,40301030,825,800
001598,AMETEK INC,AME,3823,334513,C,00X,LC,0,10460,20188,1,19500101,19620130,20,2010,201040,20104010,355,925
001598,AMETEK INC,AME,3823,334513,P,01,LC,1,10460,20188,1,19620131,19970731,20,2010,201040,20104010,355,925
001598,AMETEK INC,AME,3823,334513,P,01,LC,3,85257,32054,1,19970808,E,20,2010,201040,20104010,355,925
001602,AMGEN INC,AMGN,2836,325414,P,01,LU,1,14008,216,1,19830617,E,35,3520,352010,35201010,147,905
001632,ANALOG DEVICES,ADI,3674,334413,P,01,LU,2,60871,282,1,19721214,E,45,4530,453010,45301020,235,940
001633,ANALOGIC CORP,ALOG,3825,334515,C,01,LU,1,14198,173,1,19721214,E,35,3510,351010,35101010,230,940
001635,ANAREN INC,ANEN,3663,334220,C,00X,LU,0,14227,275,1,19730701,19790130,45,4520,452010,45201020,180,940
001635,ANAREN INC,ANEN,3663,334220,P,01,LU,1,14227,275,1,19790131,E,45,4520,452010,45201020,180,940
001651,ANDREW CORP,ANDW,3357,335929,P,01,LU,1,14323,272,1,19800619,20071231,45,4520,452010,45201020,180,940
001661,NABORS INDUSTRIES LTD,NBR,1381,213111,P,01,LC,1,29102,20201,1,19680131,E,10,1010,101010,10101010,395,935
001663,ANHEUSER-BUSCH COS INC,BUD,2082,312120,P,01,LU,2,59184,29,1,19721214,E,30,3020,302010,30201010,140,978
001678,APACHE CORP,APA,1311,211111,P,01,LU,1,39490,20204,1,19640131,E,10,1010,101020,10102020,380,935
001690,APPLE INC,AAPL,3571,334111,P,01,LU,1,14593,7,1,19801212,E,45,4520,452020,45202010,190,940
001704,APPLIED MATERIALS INC,AMAT,3559,333295,P,01,LU,2,14702,194,1,19721214,E,45,4530,453010,45301010,247,940
001722,ARCHER-DANIELS-MIDLAND CO,ADM,2070,31122,C,00X,LU,0,10516,20207,1,19490701,19620130,30,3020,302020,30202010,112,970
001722,ARCHER-DANIELS-MIDLAND CO,ADM,2070,31122,P,01,LU,1,10516,20207,1,19620131,E,30,3020,302020,30202010,112,970
001743,ARKANSAS BEST CORP,ABFS,4213,484122,C,02,LC,2,48004,24975,1,19690318,19880725,20,2030,203040,20304020,615,600
001743,ARKANSAS BEST CORP,ABFS,4213,484122,C,02,LC,4,77595,11512,1,19920513,E,20,2030,203040,20304020,615,600
001766,ARNOLD INDUSTRIES INC,AIND,4213,4841,P,01,LU,1,15035,3240,1,19770131,20011231,20,2030,203040,20304020,615,600
001766,ARNOLD INDUSTRIES INC,AIND,4213,4841,C,00X,LU,0,15035,3240,1,19770101,19770130,20,2030,203040,20304020,615,600
001773,ARROW ELECTRONICS INC,ARW,5065,423690,P,01,LU,1,29209,20217,1,19660429,E,45,4520,452030,45203030,222,940
001794,ASHLAND INC,ASH,5160,424690,P,01,LU,2,24272,20222,1,19620131,E,15,1510,151010,15101020,382,935
001794,ASHLAND INC,ASH,5160,424690,C,00X,LU,1,24272,20222,1,19500531,19620130,15,1510,151010,15101020,382,935
001860,ATWOOD OCEANICS,ATW,1381,213111,P,01,LU,2,15721,403,1,19721214,E,10,1010,101010,10101010,395,935
001878,AUTODESK INC,ADSK,7372,511210,P,01,LU,1,85631,7623,1,19850731,E,45,4510,451030,45103010,185,940
001891,AUTOMATIC DATA PROCESSING,ADP,7374,518210,P,01,LU,2,44644,20235,1,19670626,E,45,4510,451020,45102020,453,940
001913,AVERY DENNISON CORP,AVY,2670,322222,P,01,LU,2,44601,20238,1,19670620,E,20,2020,202010,20201060,357,925
001919,AVNET INC,AVT,5065,423690,P,01,LU,1,27684,20239,1,19620131,E,45,4520,452030,45203030,222,940
001920,AVON PRODUCTS,AVP,2844,325620,P,01,LU,2,40416,20240,1,19640420,E,30,3030,303020,30302010,215,978
